"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of adults ever diagnosed with diabetes in 2018"
"26081001200, MI","26081001200","=""26081001200""","7.9"
"26081001300, MI","26081001300","=""26081001300""","7.2"
"26081001400, MI","26081001400","=""26081001400""","5.7"
"26081002000, MI","26081002000","=""26081002000""","8.2"
"26081002100, MI","26081002100","=""26081002100""","7.0"
"26081002200, MI","26081002200","=""26081002200""","6.3"
"26081002300, MI","26081002300","=""26081002300""","9.9"
"26081002600, MI","26081002600","=""26081002600""","9.1"
"26081002900, MI","26081002900","=""26081002900""","8.0"
"26081003000, MI","26081003000","=""26081003000""","10.1"
"26081003900, MI","26081003900","=""26081003900""","9.1"

"Location: 49503 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: PolicyMap & CDC BRFSS"
"https://www.policymap.com/data/our-data-directory/#CDC%20Behavioral%20Risk%20Factor%20Surveillance%20System"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
