"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of all Hispanic or Latino people who were livi"
"26081001200, MI","26081001200","=""26081001200""","40.50"
"26081001300, MI","26081001300","=""26081001300""","55.78"
"26081001400, MI","26081001400","=""26081001400""","46.02"
"26081002000, MI","26081002000","=""26081002000""","52.43"
"26081002100, MI","26081002100","=""26081002100""","26.67"
"26081002200, MI","26081002200","=""26081002200""","18.22"
"26081002300, MI","26081002300","=""26081002300""","16.30"
"26081002600, MI","26081002600","=""26081002600""","37.44"
"26081002900, MI","26081002900","=""26081002900""","11.86"
"26081003000, MI","26081003000","=""26081003000""","34.49"
"26081003900, MI","26081003900","=""26081003900""","40.15"

"Location: 49503 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
