"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households with internet access, between 20"
"26081001200, MI","26081001200","=""26081001200""","90.78"
"26081001300, MI","26081001300","=""26081001300""","76.73"
"26081001400, MI","26081001400","=""26081001400""","96.46"
"26081002000, MI","26081002000","=""26081002000""","88.17"
"26081002100, MI","26081002100","=""26081002100""","86.36"
"26081002200, MI","26081002200","=""26081002200""","92.65"
"26081002300, MI","26081002300","=""26081002300""","91.70"
"26081002600, MI","26081002600","=""26081002600""","78.51"
"26081002900, MI","26081002900","=""26081002900""","95.77"
"26081003000, MI","26081003000","=""26081003000""","91.33"
"26081003900, MI","26081003900","=""26081003900""","70.45"

"Location: 49503 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
