"Block Group","FIPS Code","Formatted FIPS","Average number of jobs per household in 2021."
"260810011013, MI","260810011013","=""260810011013""","1.16"
"260810012001, MI","260810012001","=""260810012001""","1.98"
"260810012002, MI","260810012002","=""260810012002""","0.03"
"260810012003, MI","260810012003","=""260810012003""","0.14"
"260810012004, MI","260810012004","=""260810012004""","0.01"
"260810013003, MI","260810013003","=""260810013003""","0.36"
"260810014001, MI","260810014001","=""260810014001""","3.00"
"260810014002, MI","260810014002","=""260810014002""","0.14"
"260810020001, MI","260810020001","=""260810020001""","65.51"
"260810020002, MI","260810020002","=""260810020002""","4.83"
"260810021001, MI","260810021001","=""260810021001""","0.40"
"260810021002, MI","260810021002","=""260810021002""","1.55"
"260810021003, MI","260810021003","=""260810021003""","6.53"
"260810022001, MI","260810022001","=""260810022001""","1.86"
"260810022002, MI","260810022002","=""260810022002""","1.97"
"260810022003, MI","260810022003","=""260810022003""","0.16"
"260810022004, MI","260810022004","=""260810022004""","0.33"
"260810023002, MI","260810023002","=""260810023002""","3.95"
"260810025001, MI","260810025001","=""260810025001""","0.31"
"260810025004, MI","260810025004","=""260810025004""","0.81"
"260810026001, MI","260810026001","=""260810026001""","6.47"
"260810026002, MI","260810026002","=""260810026002""","3.19"
"260810026003, MI","260810026003","=""260810026003""","0.74"
"260810029001, MI","260810029001","=""260810029001""","0.18"
"260810029002, MI","260810029002","=""260810029002""","0.09"
"260810030001, MI","260810030001","=""260810030001""","0.65"
"260810030002, MI","260810030002","=""260810030002""","0.07"
"260810039001, MI","260810039001","=""260810039001""","0.27"
"260810039002, MI","260810039002","=""260810039002""","1.46"
"260810040002, MI","260810040002","=""260810040002""","0.16"

"Location: 49503 (Zip)"

"Block Group Boundary Year: 2010"

"Indicator source: EPA Smart Location Database"
"https://www.policymap.com/data/our-data-directory/#EPA%20Smart%20Location%20Database"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
