"Census Tract","FIPS Code","Formatted FIPS","Life expectancy at birth, as of 2010-2015."
"26081001200, MI","26081001200","=""26081001200""","81.1"
"26081001300, MI","26081001300","=""26081001300""","74.4"
"26081001400, MI","26081001400","=""26081001400""","78.9"
"26081002000, MI","26081002000","=""26081002000""","77.6"
"26081002100, MI","26081002100","=""26081002100""","78.9"
"26081002200, MI","26081002200","=""26081002200""","77.2"
"26081002300, MI","26081002300","=""26081002300""","82.1"
"26081002600, MI","26081002600","=""26081002600""","77.2"
"26081002900, MI","26081002900","=""26081002900""","79.1"
"26081003000, MI","26081003000","=""26081003000""","80.9"
"26081003900, MI","26081003900","=""26081003900""","75.6"

"Location: 49503 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: CDC"
"https://www.policymap.com/data/our-data-directory/#CDC%20NCHS%20Small-area%20Life%20Expectancy%20Estimates"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
