"Census Tract","FIPS Code","Formatted FIPS","Percent of all people who were American Indian or Alaska Native "
"26081001104, MI","26081001104","=""26081001104""","1.26"
"26081001200, MI","26081001200","=""26081001200""","0.46"
"26081001300, MI","26081001300","=""26081001300""","1.22"
"26081001400, MI","26081001400","=""26081001400""","0.45"
"26081002000, MI","26081002000","=""26081002000""","0.25"
"26081002100, MI","26081002100","=""26081002100""","0.55"
"26081002200, MI","26081002200","=""26081002200""","0.58"
"26081002300, MI","26081002300","=""26081002300""","0.41"
"26081002600, MI","26081002600","=""26081002600""","3.56"
"26081002900, MI","26081002900","=""26081002900""","0.26"
"26081003000, MI","26081003000","=""26081003000""","0.87"
"26081003900, MI","26081003900","=""26081003900""","3.29"

"Location: 49503 (Zip)"

"Census Tract Boundary Year: 2020"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
