"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of all people who were foreign born as of 2015"
"26081001200, MI","26081001200","=""26081001200""","2.08"
"26081001300, MI","26081001300","=""26081001300""","11.62"
"26081001400, MI","26081001400","=""26081001400""","4.91"
"26081002000, MI","26081002000","=""26081002000""","7.47"
"26081002100, MI","26081002100","=""26081002100""","4.02"
"26081002200, MI","26081002200","=""26081002200""","3.29"
"26081002300, MI","26081002300","=""26081002300""","6.86"
"26081002600, MI","26081002600","=""26081002600""","27.33"
"26081002900, MI","26081002900","=""26081002900""","3.12"
"26081003000, MI","26081003000","=""26081003000""","7.18"
"26081003900, MI","26081003900","=""26081003900""","43.53"

"Location: 49503 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
