"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of all people age 5 and older who were non-Eng"
"26081001200, MI","26081001200","=""26081001200""","1.88"
"26081001300, MI","26081001300","=""26081001300""","6.75"
"26081001400, MI","26081001400","=""26081001400""","0.34"
"26081002000, MI","26081002000","=""26081002000""","3.04"
"26081002100, MI","26081002100","=""26081002100""","0.13"
"26081002200, MI","26081002200","=""26081002200""","1.34"
"26081002300, MI","26081002300","=""26081002300""","1.39"
"26081002600, MI","26081002600","=""26081002600""","28.92"
"26081002900, MI","26081002900","=""26081002900""","1.75"
"26081003000, MI","26081003000","=""26081003000""","4.22"
"26081003900, MI","26081003900","=""26081003900""","44.07"

"Location: 49503 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
