"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of people with one or more disabilities, betwe"
"26081001200, MI","26081001200","=""26081001200""","12.65"
"26081001300, MI","26081001300","=""26081001300""","15.37"
"26081001400, MI","26081001400","=""26081001400""","5.73"
"26081002000, MI","26081002000","=""26081002000""","15.82"
"26081002100, MI","26081002100","=""26081002100""","14.29"
"26081002200, MI","26081002200","=""26081002200""","12.75"
"26081002300, MI","26081002300","=""26081002300""","13.04"
"26081002600, MI","26081002600","=""26081002600""","10.23"
"26081002900, MI","26081002900","=""26081002900""","6.10"
"26081003000, MI","26081003000","=""26081003000""","7.65"
"26081003900, MI","26081003900","=""26081003900""","12.71"

"Location: 49503 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
