"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of White people with at least a high school di"
"26081001200, MI","26081001200","=""26081001200""","91.38"
"26081001300, MI","26081001300","=""26081001300""","82.95"
"26081001400, MI","26081001400","=""26081001400""","100.00"
"26081002000, MI","26081002000","=""26081002000""","97.68"
"26081002100, MI","26081002100","=""26081002100""","93.31"
"26081002200, MI","26081002200","=""26081002200""","95.82"
"26081002300, MI","26081002300","=""26081002300""","98.71"
"26081002600, MI","26081002600","=""26081002600""","40.83"
"26081002900, MI","26081002900","=""26081002900""","99.03"
"26081003000, MI","26081003000","=""26081003000""","93.94"
"26081003900, MI","26081003900","=""26081003900""","37.44"

"Location: 49503 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
