"Census Tract","FIPS Code","Formatted FIPS","Percent of all people who were American Indian or Alaska Native "
"26081000600, MI","26081000600","=""26081000600""","0.36"
"26081000700, MI","26081000700","=""26081000700""","0.70"
"26081000800, MI","26081000800","=""26081000800""","1.58"
"26081001500, MI","26081001500","=""26081001500""","0.91"
"26081001600, MI","26081001600","=""26081001600""","1.15"
"26081001700, MI","26081001700","=""26081001700""","0.95"
"26081001801, MI","26081001801","=""26081001801""","0.29"
"26081001802, MI","26081001802","=""26081001802""","0.37"
"26081001900, MI","26081001900","=""26081001900""","0.92"
"26081002700, MI","26081002700","=""26081002700""","1.28"

"Location: 49504 (Zip)"

"Census Tract Boundary Year: 2020"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
