"Census Tract","FIPS Code","Formatted FIPS","Percent of all people who were Black or African American in 2020"
"26081002800, MI","26081002800","=""26081002800""","45.54"
"26081003100, MI","26081003100","=""26081003100""","59.93"
"26081003200, MI","26081003200","=""26081003200""","61.99"
"26081003500, MI","26081003500","=""26081003500""","48.08"
"26081003600, MI","26081003600","=""26081003600""","52.97"
"26081003700, MI","26081003700","=""26081003700""","42.40"
"26081003800, MI","26081003800","=""26081003800""","13.42"
"26081004000, MI","26081004000","=""26081004000""","10.40"
"26081004100, MI","26081004100","=""26081004100""","19.00"
"26081004200, MI","26081004200","=""26081004200""","19.63"

"Location: 49507 (Zip)"

"Census Tract Boundary Year: 2020"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
