"Census Tract","FIPS Code","Formatted FIPS","Estimated median income of a household, between 2015-2019."
"26081002800, MI","26081002800","=""26081002800""","20781"
"26081003100, MI","26081003100","=""26081003100""","36332"
"26081003200, MI","26081003200","=""26081003200""","35867"
"26081003500, MI","26081003500","=""26081003500""","37490"
"26081003600, MI","26081003600","=""26081003600""","21694"
"26081003700, MI","26081003700","=""26081003700""","37067"
"26081003800, MI","26081003800","=""26081003800""","38250"
"26081004000, MI","26081004000","=""26081004000""","38211"
"26081004100, MI","26081004100","=""26081004100""","68750"
"26081004200, MI","26081004200","=""26081004200""","55878"

"Location: 49507 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
