"Census Tract","FIPS Code","Formatted FIPS","Percent of all people who were White in 2020."
"26081002800, MI","26081002800","=""26081002800""","23.14"
"26081003100, MI","26081003100","=""26081003100""","16.88"
"26081003200, MI","26081003200","=""26081003200""","22.74"
"26081003500, MI","26081003500","=""26081003500""","34.92"
"26081003600, MI","26081003600","=""26081003600""","16.06"
"26081003700, MI","26081003700","=""26081003700""","24.88"
"26081003800, MI","26081003800","=""26081003800""","17.83"
"26081004000, MI","26081004000","=""26081004000""","18.19"
"26081004100, MI","26081004100","=""26081004100""","61.33"
"26081004200, MI","26081004200","=""26081004200""","67.14"

"Location: 49507 (Zip)"

"Census Tract Boundary Year: 2020"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
