"Block Group","FIPS Code","Formatted FIPS","Average number of jobs per household in 2021."
"260810106003, MI","260810106003","=""260810106003""","0.38"
"260810106004, MI","260810106004","=""260810106004""","0.69"
"260810107001, MI","260810107001","=""260810107001""","2.31"
"260810107002, MI","260810107002","=""260810107002""","3.77"
"260810107003, MI","260810107003","=""260810107003""","1.03"
"260810108011, MI","260810108011","=""260810108011""","0.34"
"260810108012, MI","260810108012","=""260810108012""","0.23"
"260810108013, MI","260810108013","=""260810108013""","0.19"
"260810108021, MI","260810108021","=""260810108021""","0.12"
"260810109031, MI","260810109031","=""260810109031""","0.25"
"260810109032, MI","260810109032","=""260810109032""","0.23"
"260810109033, MI","260810109033","=""260810109033""","0.49"
"260810109034, MI","260810109034","=""260810109034""","0.18"
"260810110011, MI","260810110011","=""260810110011""","0.18"
"260810110021, MI","260810110021","=""260810110021""","0.25"

"Location: 49341 (Zip)"

"Block Group Boundary Year: 2010"

"Indicator source: EPA Smart Location Database"
"https://www.policymap.com/data/our-data-directory/#EPA%20Smart%20Location%20Database"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
