"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of adults reporting a physical checkup in the "
"26081001200, MI","26081001200","=""26081001200""","76.2"
"26081001300, MI","26081001300","=""26081001300""","75.3"
"26081001400, MI","26081001400","=""26081001400""","72.9"
"26081002000, MI","26081002000","=""26081002000""","75.3"
"26081002100, MI","26081002100","=""26081002100""","74.2"
"26081002200, MI","26081002200","=""26081002200""","73.9"
"26081002300, MI","26081002300","=""26081002300""","78.8"
"26081002600, MI","26081002600","=""26081002600""","74.5"
"26081002900, MI","26081002900","=""26081002900""","75.7"
"26081003000, MI","26081003000","=""26081003000""","78.0"
"26081003900, MI","26081003900","=""26081003900""","73.4"

"Location: 49503 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: PolicyMap & CDC BRFSS"
"https://www.policymap.com/data/our-data-directory/#CDC%20Behavioral%20Risk%20Factor%20Surveillance%20System"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
