"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of adults reporting to engage in binge drinkin"
"26081001200, MI","26081001200","=""26081001200""","21.2"
"26081001300, MI","26081001300","=""26081001300""","22.2"
"26081001400, MI","26081001400","=""26081001400""","24.9"
"26081002000, MI","26081002000","=""26081002000""","22.8"
"26081002100, MI","26081002100","=""26081002100""","23.9"
"26081002200, MI","26081002200","=""26081002200""","23.7"
"26081002300, MI","26081002300","=""26081002300""","18.2"
"26081002600, MI","26081002600","=""26081002600""","20.5"
"26081002900, MI","26081002900","=""26081002900""","22.3"
"26081003000, MI","26081003000","=""26081003000""","20.1"
"26081003900, MI","26081003900","=""26081003900""","21.2"

"Location: 49503 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: PolicyMap & CDC BRFSS"
"https://www.policymap.com/data/our-data-directory/#CDC%20Behavioral%20Risk%20Factor%20Surveillance%20System"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
