"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of people with a high school diploma and no co"
"26081001200, MI","26081001200","=""26081001200""","20.24"
"26081001300, MI","26081001300","=""26081001300""","30.70"
"26081001400, MI","26081001400","=""26081001400""","10.40"
"26081002000, MI","26081002000","=""26081002000""","18.76"
"26081002100, MI","26081002100","=""26081002100""","7.37"
"26081002200, MI","26081002200","=""26081002200""","19.95"
"26081002300, MI","26081002300","=""26081002300""","8.47"
"26081002600, MI","26081002600","=""26081002600""","21.79"
"26081002900, MI","26081002900","=""26081002900""","10.81"
"26081003000, MI","26081003000","=""26081003000""","21.00"
"26081003900, MI","26081003900","=""26081003900""","24.43"

"Location: 49503 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
