"Census Tract","FIPS Code","Formatted FIPS","Estimated median income of a household, between 2015-2019."
"26081001200, MI","26081001200","=""26081001200""","48750"
"26081001300, MI","26081001300","=""26081001300""","35370"
"26081001400, MI","26081001400","=""26081001400""","63355"
"26081002000, MI","26081002000","=""26081002000""","35993"
"26081002100, MI","26081002100","=""26081002100""","33527"
"26081002200, MI","26081002200","=""26081002200""","56468"
"26081002300, MI","26081002300","=""26081002300""","81569"
"26081002600, MI","26081002600","=""26081002600""","33942"
"26081002900, MI","26081002900","=""26081002900""","59728"
"26081003000, MI","26081003000","=""26081003000""","51500"
"26081003900, MI","26081003900","=""26081003900""","40685"

"Location: 49503 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
