"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of population with less than a 9th grade educa"
"26081001200, MI","26081001200","=""26081001200""","2.63"
"26081001300, MI","26081001300","=""26081001300""","6.83"
"26081001400, MI","26081001400","=""26081001400""","0.00"
"26081002000, MI","26081002000","=""26081002000""","1.65"
"26081002100, MI","26081002100","=""26081002100""","2.98"
"26081002200, MI","26081002200","=""26081002200""","2.91"
"26081002300, MI","26081002300","=""26081002300""","2.16"
"26081002600, MI","26081002600","=""26081002600""","32.12"
"26081002900, MI","26081002900","=""26081002900""","0.68"
"26081003000, MI","26081003000","=""26081003000""","0.77"
"26081003900, MI","26081003900","=""26081003900""","45.79"

"Location: 49503 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
