"Census Tract","FIPS Code","Formatted FIPS","Percent of all people who were Native Hawaiian and Other Pacific"
"26081001104, MI","26081001104","=""26081001104""","0.11"
"26081001200, MI","26081001200","=""26081001200""","0.06"
"26081001300, MI","26081001300","=""26081001300""","0.06"
"26081001400, MI","26081001400","=""26081001400""","0.19"
"26081002000, MI","26081002000","=""26081002000""","0.40"
"26081002100, MI","26081002100","=""26081002100""","0.07"
"26081002200, MI","26081002200","=""26081002200""","0.15"
"26081002300, MI","26081002300","=""26081002300""","0.02"
"26081002600, MI","26081002600","=""26081002600""","0.00"
"26081002900, MI","26081002900","=""26081002900""","0.07"
"26081003000, MI","26081003000","=""26081003000""","0.12"
"26081003900, MI","26081003900","=""26081003900""","0.00"

"Location: 49503 (Zip)"

"Census Tract Boundary Year: 2020"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
