"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of all people that are living in poverty as of"
"26081001200, MI","26081001200","=""26081001200""","16.84"
"26081001300, MI","26081001300","=""26081001300""","36.23"
"26081001400, MI","26081001400","=""26081001400""","16.93"
"26081002000, MI","26081002000","=""26081002000""","34.09"
"26081002100, MI","26081002100","=""26081002100""","31.69"
"26081002200, MI","26081002200","=""26081002200""","22.34"
"26081002300, MI","26081002300","=""26081002300""","8.08"
"26081002600, MI","26081002600","=""26081002600""","36.23"
"26081002900, MI","26081002900","=""26081002900""","11.78"
"26081003000, MI","26081003000","=""26081003000""","23.17"
"26081003900, MI","26081003900","=""26081003900""","36.23"

"Location: 49503 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
