"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of all White people who lived in poverty, betw"
"26081001200, MI","26081001200","=""26081001200""","11.65"
"26081001300, MI","26081001300","=""26081001300""","15.81"
"26081001400, MI","26081001400","=""26081001400""","16.46"
"26081002000, MI","26081002000","=""26081002000""","28.41"
"26081002100, MI","26081002100","=""26081002100""","24.86"
"26081002200, MI","26081002200","=""26081002200""","24.24"
"26081002300, MI","26081002300","=""26081002300""","4.34"
"26081002600, MI","26081002600","=""26081002600""","41.35"
"26081002900, MI","26081002900","=""26081002900""","10.37"
"26081003000, MI","26081003000","=""26081003000""","16.79"
"26081003900, MI","26081003900","=""26081003900""","24.36"

"Location: 49503 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
