"Census Tract","FIPS Code","Formatted FIPS","Percent of all people who were White in 2020."
"26081000600, MI","26081000600","=""26081000600""","89.06"
"26081000700, MI","26081000700","=""26081000700""","77.37"
"26081000800, MI","26081000800","=""26081000800""","54.13"
"26081001500, MI","26081001500","=""26081001500""","48.71"
"26081001600, MI","26081001600","=""26081001600""","62.42"
"26081001700, MI","26081001700","=""26081001700""","86.11"
"26081001801, MI","26081001801","=""26081001801""","86.25"
"26081001802, MI","26081001802","=""26081001802""","91.24"
"26081001900, MI","26081001900","=""26081001900""","65.19"
"26081002700, MI","26081002700","=""26081002700""","64.67"

"Location: 49504 (Zip)"

"Census Tract Boundary Year: 2020"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
