"Census Tract","FIPS Code","Formatted FIPS","Percent of all people who were Asian in 2020."
"26081002800, MI","26081002800","=""26081002800""","0.89"
"26081003100, MI","26081003100","=""26081003100""","0.75"
"26081003200, MI","26081003200","=""26081003200""","0.31"
"26081003500, MI","26081003500","=""26081003500""","1.35"
"26081003600, MI","26081003600","=""26081003600""","0.13"
"26081003700, MI","26081003700","=""26081003700""","0.94"
"26081003800, MI","26081003800","=""26081003800""","0.61"
"26081004000, MI","26081004000","=""26081004000""","0.30"
"26081004100, MI","26081004100","=""26081004100""","1.51"
"26081004200, MI","26081004200","=""26081004200""","1.60"

"Location: 49507 (Zip)"

"Census Tract Boundary Year: 2020"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
