"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households with any type of computer, betwe"
"26081002800, MI","26081002800","=""26081002800""","78.63"
"26081003100, MI","26081003100","=""26081003100""","86.78"
"26081003200, MI","26081003200","=""26081003200""","84.63"
"26081003500, MI","26081003500","=""26081003500""","83.70"
"26081003600, MI","26081003600","=""26081003600""","74.62"
"26081003700, MI","26081003700","=""26081003700""","92.85"
"26081003800, MI","26081003800","=""26081003800""","81.76"
"26081004000, MI","26081004000","=""26081004000""","79.83"
"26081004100, MI","26081004100","=""26081004100""","92.36"
"26081004200, MI","26081004200","=""26081004200""","90.26"

"Location: 49507 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
