"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of Hispanic or Latino people with at least a h"
"26081002800, MI","26081002800","=""26081002800""","50.00"
"26081003100, MI","26081003100","=""26081003100""","59.24"
"26081003200, MI","26081003200","=""26081003200""","87.44"
"26081003500, MI","26081003500","=""26081003500""","57.74"
"26081003600, MI","26081003600","=""26081003600""","25.60"
"26081003700, MI","26081003700","=""26081003700""","50.69"
"26081003800, MI","26081003800","=""26081003800""","28.96"
"26081004000, MI","26081004000","=""26081004000""","34.44"
"26081004100, MI","26081004100","=""26081004100""","37.48"
"26081004200, MI","26081004200","=""26081004200""","78.15"

"Location: 49507 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
