"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of all people who were Hispanic or Latino, bet"
"26081002800, MI","26081002800","=""26081002800""","35.42"
"26081003100, MI","26081003100","=""26081003100""","24.71"
"26081003200, MI","26081003200","=""26081003200""","13.48"
"26081003500, MI","26081003500","=""26081003500""","11.82"
"26081003600, MI","26081003600","=""26081003600""","41.86"
"26081003700, MI","26081003700","=""26081003700""","26.05"
"26081003800, MI","26081003800","=""26081003800""","81.77"
"26081004000, MI","26081004000","=""26081004000""","82.81"
"26081004100, MI","26081004100","=""26081004100""","23.36"
"26081004200, MI","26081004200","=""26081004200""","12.32"

"Location: 49507 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
