"Census Tract","FIPS Code","Formatted FIPS","Life expectancy at birth, as of 2010-2015."
"26081002800, MI","26081002800","=""26081002800""","75.2"
"26081003100, MI","26081003100","=""26081003100""","N/A"
"26081003200, MI","26081003200","=""26081003200""","75.0"
"26081003500, MI","26081003500","=""26081003500""","76.4"
"26081003600, MI","26081003600","=""26081003600""","78.2"
"26081003700, MI","26081003700","=""26081003700""","77.7"
"26081003800, MI","26081003800","=""26081003800""","77.1"
"26081004000, MI","26081004000","=""26081004000""","77.0"
"26081004100, MI","26081004100","=""26081004100""","81.6"
"26081004200, MI","26081004200","=""26081004200""","78.4"

"Location: 49507 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: CDC"
"https://www.policymap.com/data/our-data-directory/#CDC%20NCHS%20Small-area%20Life%20Expectancy%20Estimates"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
