"Census Tract","FIPS Code","Formatted FIPS","Average annual dollars spent out of pocket per person on medical"
"26081002800, MI","26081002800","=""26081002800""","610"
"26081003100, MI","26081003100","=""26081003100""","540"
"26081003200, MI","26081003200","=""26081003200""","640"
"26081003500, MI","26081003500","=""26081003500""","690"
"26081003600, MI","26081003600","=""26081003600""","540"
"26081003700, MI","26081003700","=""26081003700""","660"
"26081003800, MI","26081003800","=""26081003800""","430"
"26081004000, MI","26081004000","=""26081004000""","490"
"26081004100, MI","26081004100","=""26081004100""","760"
"26081004200, MI","26081004200","=""26081004200""","800"

"Location: 49507 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: PolicyMap and Quantitative Innovations"
"https://www.policymap.com/data/our-data-directory/#PolicyMap,%20QI,%20AHRQ,%20Census"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
