"Census Tract","FIPS Code","Formatted FIPS","Percent of all people who were American Indian or Alaska Native "
"26081002800, MI","26081002800","=""26081002800""","1.88"
"26081003100, MI","26081003100","=""26081003100""","1.01"
"26081003200, MI","26081003200","=""26081003200""","0.69"
"26081003500, MI","26081003500","=""26081003500""","0.69"
"26081003600, MI","26081003600","=""26081003600""","1.44"
"26081003700, MI","26081003700","=""26081003700""","1.96"
"26081003800, MI","26081003800","=""26081003800""","3.78"
"26081004000, MI","26081004000","=""26081004000""","3.23"
"26081004100, MI","26081004100","=""26081004100""","0.81"
"26081004200, MI","26081004200","=""26081004200""","0.52"

"Location: 49507 (Zip)"

"Census Tract Boundary Year: 2020"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
