"Census Tract","FIPS Code","Formatted FIPS","Population in 2020."
"26081002800, MI","26081002800","=""26081002800""","2018"
"26081003100, MI","26081003100","=""26081003100""","3579"
"26081003200, MI","26081003200","=""26081003200""","5180"
"26081003500, MI","26081003500","=""26081003500""","5489"
"26081003600, MI","26081003600","=""26081003600""","2360"
"26081003700, MI","26081003700","=""26081003700""","4486"
"26081003800, MI","26081003800","=""26081003800""","4785"
"26081004000, MI","26081004000","=""26081004000""","3711"
"26081004100, MI","26081004100","=""26081004100""","4963"
"26081004200, MI","26081004200","=""26081004200""","3877"

"Location: 49507 (Zip)"

"Census Tract Boundary Year: 2020"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
