zipcode,estimated_percent_of_adults_reporting_a_physical_checkup_in_the,estimated_percent_of_asian_people_with_at_least_a_high_school_di,estimated_percent_of_all_asian_people_who_lived_in_poverty_betw,percent_of_all_people_who_were_asian_in_2020,estimated_percent_of_people_with_a_bachelors_degree_between_20,estimated_percent_of_adults_reporting_to_engage_in_binge_drinkin,estimated_percent_of_black_or_african_american_people_with_at_le,estimated_percent_of_all_black_or_african_american_people_who_li,percent_of_all_people_who_were_black_or_african_american_in_2020,estimated_percent_of_households_with_any_type_of_computer_betwe,estimated_percent_of_adults_ever_diagnosed_with_chronic_obstruct,estimated_percent_of_adults_ever_diagnosed_with_depression_in_20,estimated_percent_of_adults_ever_diagnosed_with_diabetes_in_2018,averaged_freshman_graduation_rate_in_2009_10,estimated_percent_of_adults_ever_diagnosed_with_heart_disease_in,estimated_percent_of_adults_ever_diagnosed_with_high_blood_press,estimated_percent_of_adults_ever_diagnosed_with_high_cholesterol,estimated_percent_of_people_with_a_high_school_diploma_and_no_co,estimated_percent_of_hispanic_or_latino_people_with_at_least_a_h,estimated_percent_of_all_hispanic_or_latino_people_who_were_livi,estimated_percent_of_all_people_who_were_hispanic_or_latino_bet,estimated_percent_of_adults_ever_tested_for_hiv_in_2018,estimated_median_income_of_a_household_between_2015_2019,estimated_percent_of_all_people_without_health_insurance_betwee.x,estimated_percent_of_households_with_internet_access_between_20,average_number_of_jobs_per_household_in_2021,estimated_percent_of_population_with_less_than_a_9th_grade_educa,life_expectancy_at_birth_as_of_2010_2015,estimated_median_age_of_all_people_between_2015_2019,average_annual_dollars_spent_out_of_pocket_per_person_on_medical,percent_of_all_people_who_were_american_indian_or_alaska_native,estimated_number_of_people_with_a_disability_living_in_poverty_a,percent_of_all_people_who_were_native_hawaiian_and_other_pacific,estimated_percent_of_people_with_one_or_more_disabilities_betwe,estimated_percent_of_all_people_who_were_foreign_born_as_of_2015,estimated_percent_of_all_people_age_5_and_older_who_were_non_eng,estimated_percent_of_all_people_that_are_living_in_poverty_as_of,estimated_percent_of_adults_reporting_to_have_a_personal_doctor,estimated_percent_of_adults_ever_diagnosed_with_a_stroke_in_2018,estimated_percent_of_white_people_with_at_least_a_high_school_di,percent_of_all_people_who_were_white_in_2020,estimated_percent_of_all_white_people_who_lived_in_poverty_betw,estimated_percent_of_all_people_with_health_insurance_between_2,estimated_percent_of_all_people_without_health_insurance_betwee,population_in_2020
49301,78.33,100,12.32,4.16,38.03,19,100,0,1.12,97.17,7.8,24.43,9.7,95.9,4.43,31.63,33.63,10.2,100,3.04,3.06,40.97,122011,2.41,96.47,1.28,0.37,84.35,42,1090,0.18,2.67,0.02,5.34,4.39,1.56,2.35,87.27,2.67,98.64,87.93,2,NA,2.41,21534
49302,77.65,100,0,0.8,26.32,19.95,NA,NA,0.68,94.96,7.6,24.7,9.25,NA,4.25,30.65,32.6,23.92,88.89,7.45,2.27,41.15,90077,NA,90.56,1.6,1.06,82.7,42,1045,0.26,59.5,0,7.9,1.64,0.68,2.67,86.45,2.6,95.81,92.41,2.65,97.39,4.04,12443
49306,77.7,76.24,0,1.44,29.01,19.9,48.27,1.73,0.71,93.83,7.5,24.65,9.1,NA,4.2,30.45,32.55,19.75,92.39,15.71,4.45,40.7,93081,NA,92.37,0.34,1.29,82.3,41.5,1070,0.33,98.5,0.02,8.98,3.64,1.44,5.88,86.45,2.55,96.13,91.48,5.17,95.97,4.03,9388
49315,78.3,55.13,23.41,4.45,24.7,18.9,100,0,1.63,92.48,8.7,24.7,10.25,84.9,5.1,32.85,33.4,26.8,90,1.25,5.12,38.35,78539,NA,90.61,0.36,2.08,82.1,40,1110,0.2,87.5,0.02,9.16,5.67,1.91,3.29,86.15,3.1,95.77,86.86,2.83,96.81,3.19,22095
49316,77.38,88.66,2.87,4.23,24.95,19.93,96.81,15.12,3.29,96.17,7.15,24.18,8.9,90.5,4.08,29.4,30.4,22.76,82.36,4.41,3.41,41.15,83235,NA,93.43,0.46,1.24,82.9,36.25,985,0.42,40,0,6.83,6.38,3,4.88,85,2.52,95.86,84.82,5.23,97.41,2.59,23980
49319,76.53,100,9.43,0.51,14.83,20.97,95.52,23.39,1.03,92.38,6.97,24.83,8.17,78.1,3.9,28.1,29.8,38.6,99.38,0.24,3.23,41.4,68092,NA,85.05,0.93,1.95,79.87,37,933.33,0.51,130.33,0.04,12.42,1.26,0.17,9.62,85.03,2.4,92.7,90.19,9.78,95.44,4.56,16285
49321,76.4,80.95,0,1.11,20.69,20.9,100,5.95,6.36,93.31,6.6,24.5,7.97,86,3.67,27.33,28.53,26.92,81.17,5.01,8.3,42.23,59047.67,NA,91.29,1.83,3.62,79.93,37.33,973.33,0.65,60.67,0.02,12.19,4.96,3.2,10.02,83.47,2.27,91.18,78.76,10.62,94.77,5.23,13140
49326,78.7,NA,NA,0.44,10.55,19.1,NA,NA,0.44,86.08,8,23.9,10,NA,5,32.9,34.3,36.31,82.69,42.46,6.23,38.6,55243,NA,78.8,0.06,1.85,77.3,48,1110,0.36,58,0.04,15.71,0,0,13.44,86.9,2.9,87.58,94.52,13,93.49,6.51,2516
49330,76.5,NA,NA,0.26,11.72,21,93.22,34.25,0.35,86.44,6.8,24.5,8.3,84,3.9,28.2,30.1,35.58,30.3,7.46,11.94,41.6,67885,NA,80.38,0.2,7.15,79.7,35,900,0.35,135,0,13.41,7.43,7.45,12.11,84.5,2.3,86.48,86.95,11.86,89.84,10.16,5401
49331,77.3,100,0,0.78,20.69,20.15,90.66,7.26,0.88,94.57,7.5,24.75,8.8,93.9,4.25,29.65,31,26.12,86.33,11.7,3.83,40.25,74131.5,NA,88.8,0.34,0.76,79.4,39.5,1000,0.35,82.5,0,10.16,1.66,0.56,8.59,85.7,2.65,95.47,90.96,8.76,96.37,3.63,12061
